"country";"indicator";"year";"value"
"CMR";306;2013;22254
"COD";306;1980;26357,4
"COD";306;1985;30039,9
"COD";306;1990;34910,6
"COD";306;1995;42012,5
"COD";306;2000;46949,2
"COD";306;2005;54028
"COD";306;2006;55590,8
"COD";306;2007;57187,9
"COD";306;2009;60486,3
"COD";306;2010;62191,2
"COD";306;2011;63931,5
"COD";306;2012;65705,1
"COD";306;2013;67513,7
"COG";306;1980;1796,4
"COG";306;1985;2078,9
"COG";306;1990;2383,3
"COG";306;1995;2720,6
"COG";306;2000;3126,2
"COG";306;2005;3542,9
"COG";306;2006;3646,7
"COG";306;2007;3758,9
"COG";306;2009;3995,1
"COG";306;2010;4111,7
"COG";306;2011;4225,4
"COG";306;2012;4337,1
"COG";306;2013;4447,6
"COL";306;1980;26934,6
"COL";306;1985;30076,5
"COL";306;1990;33306,9
"COL";306;1995;36573,9
"COL";306;2000;39898
"COL";306;2005;43184
"COL";306;2006;43841,4
"COL";306;2007;44498,4
"COL";306;2009;45802,6
"COL";306;2010;46444,8
"COL";306;2011;47078,8
"COL";306;2012;47704,4
"COL";306;2013;48321,4
"COM";306;1980;313,6
"COM";306;1985;363,1
"COM";306;1990;412,8
"COM";306;1995;465,9
"COM";306;2000;528,3
"COM";306;2005;600,7
"COM";306;2006;616,5
"COM";306;2007;632,7
"COM";306;2009;666,1
"COM";306;2010;683,1
"COM";306;2011;700,2
"COM";306;2012;717,5
"COM";306;2013;734,9
"CPV";306;1980;301,6
"CPV";306;1985;331
"CPV";306;1990;352
"CPV";306;1995;399,5
"CPV";306;2000;442,4
"CPV";306;2005;478,7
"CPV";306;2006;481,9
"CPV";306;2007;483,7
"CPV";306;2009;485,7
"CPV";306;2010;487,6
"CPV";306;2011;490,6
"CPV";306;2012;494,4
"CPV";306;2013;498,9
"CRI";306;1980;2348,4
"CRI";306;1985;2698,6
"CRI";306;1990;3078,6
"CRI";306;1995;3478,2
"CRI";306;2000;3929,6
"CRI";306;2005;4320,1
"CRI";306;2006;4392,5
"CRI";306;2007;4463,2
"CRI";306;2009;4601,4
"CRI";306;2010;4669,7
"CRI";306;2011;4737,7
"CRI";306;2012;4805,3
"CRI";306;2013;4872,2
"CUB";306;1980;9835,1
"CUB";306;1985;10097
"CUB";306;1990;10600,8
"CUB";306;1995;10932
"CUB";306;2000;11138,4
"CUB";306;2005;11292,1
"CUB";306;2006;11301,1
"CUB";306;2007;11301,7
"CUB";306;2009;11288,8
"CUB";306;2010;11281,8
"CUB";306;2011;11276,1
"CUB";306;2012;11271
"CUB";306;2013;11265,6
"CYP";306;1980;685,4
"CYP";306;1985;703,7
"CYP";306;1990;766,6
"CYP";306;1995;855,4
"CYP";306;2000;943,3
"CYP";306;2005;1032,6
"CYP";306;2006;1048,3
"CYP";306;2007;1063,1
"CYP";306;2009;1090,6
"CYP";306;2010;1103,7
"CYP";306;2011;1116,5
"CYP";306;2012;1129
"CYP";306;2013;1141,2
"CZE";306;1980;10313,3
"CZE";306;1985;10330,1
"CZE";306;1990;10326
"CZE";306;1995;10339,2
"CZE";306;2000;10250,4
"CZE";306;2005;10230,7
"CZE";306;2006;10274,9
"CZE";306;2007;10337,8
"CZE";306;2009;10486,4
"CZE";306;2010;10553,7
"CZE";306;2011;10611
"CZE";306;2012;10660,1
"CZE";306;2013;10702,2
"DEU";306;1980;79169,1
"DEU";306;1985;78896,4
"DEU";306;1990;80487,2
"DEU";306;1995;83147,8
"DEU";306;2000;83512,5
"DEU";306;2005;83836
"DEU";306;2006;83740,3
"DEU";306;2007;83578,8
"DEU";306;2009;83182,8
"DEU";306;2010;83017,4
"DEU";306;2011;82892,9
"DEU";306;2012;82800,1
"DEU";306;2013;82726,6
"DJI";306;1980;359,2
"DJI";306;1985;424,2
"DJI";306;1990;589,9
"DJI";306;1995;664
"DJI";306;2000;722,9
"DJI";306;2005;776,6
"DJI";306;2006;787,5
"DJI";306;2007;798,7
"DJI";306;2009;821,9
"DJI";306;2010;834
"DJI";306;2011;846,6
"DJI";306;2012;859,7
"DJI";306;2013;872,9
"DMA";306;1980;75,3
"DMA";306;1985;73,6
"DMA";306;1990;70,9
"DMA";306;1995;71,4
"DMA";306;2000;69,7
"DMA";306;2005;70,5
"DMA";306;2006;70,7
"DMA";306;2007;70,8
"DMA";306;2009;71
"DMA";306;2010;71,2
"DMA";306;2011;71,4
"DMA";306;2012;71,7
"DMA";306;2013;72
"DNK";306;1980;5123,4
"DNK";306;1985;5113,4
"DNK";306;1990;5140,3
"DNK";306;1995;5232,6
